appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
579920,Swatcher,Frozen Flame,Frozen Flame,,43,5,0,"0 .. 20,000",0,0,0,0,499,499,0,English,"Design & Illustration, Photo Editing, Web Publishing",4,"{'Photo Editing': 23, 'Design & Illustration': 22, 'Web Publishing': 22}"
579930,Secret World Legends: Supernatural Bundle,Funcom,Funcom,,4,12,0,"0 .. 20,000",0,0,0,0,5999,5999,0,"English, French, German","Action, Adventure, Massively Multiplayer, RPG",0,"{'Action': 23, 'RPG': 23, 'Massively Multiplayer': 23, 'Adventure': 22}"
579940,Race for the Galaxy,Temple Gates Games,Temple Gates Games,,165,22,0,"100,000 .. 200,000",0,0,0,0,699,699,0,English,Strategy,29,"{'Strategy': 42, 'Board Game': 28, 'Card Game': 22}"
579960,Milkmaid of the Milky Way - Soundtrack,Mattis Folkestad,machineboy,,0,1,0,"0 .. 20,000",0,0,0,0,199,199,0,English,"Adventure, Indie",0,"{'Adventure': 21, 'Indie': 21}"
579970,Don't Mess Up Demo,OKatBest,OKatBest,,0,0,0,"0 .. 20,000",0,0,0,0,0,0,0,English,"Action, Casual, Indie",0,[]
579980,Lost Eden,Cryo Interactive,Interplay,,35,3,0,"0 .. 20,000",0,0,0,0,999,999,0,"English, Italian, Spanish - Spain","Adventure, RPG, Strategy",0,"{'Adventure': 43, 'Strategy': 39, 'RPG': 30, 'Dinosaurs': 16, 'First-Person': 12, 'Atmospheric': 11, 'Point & Click': 6}"
580020,TEKKEN 7 - Season Pass,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,,143,368,0,"0 .. 20,000",0,0,0,0,2499,2499,0,"English, French, Italian, German, Spanish, Arabic, Japanese, Korean, Portuguese-Brazil, Russian, Traditional Chinese","Action, Sports",0,"{'Action': 25, 'Sports': 20, 'Fighting': 8}"
580040,Formata,Nezon Production,Nezon Production,,389,199,0,"20,000 .. 50,000",0,0,0,0,999,999,0,"English, Russian, German, Simplified Chinese, Spanish - Spain","Action, Casual, Indie, Simulation, Strategy",7,"{'Strategy': 52, 'Action': 49, 'Indie': 45, 'Simulation': 34, 'War': 32, 'Casual': 30, 'Military': 20, 'Medieval': 19, 'Rome': 18, 'Tactical': 17, 'Singleplayer': 15, 'Multiplayer': 14, 'Early Access': 14, 'RTS': 13, 'Sandbox': 12, 'Physics': 11, 'Funny': 11, 'Team-Based': 10, 'Comedy': 9, 'Adventure': 9}"
580050,RPG Maker MV - Elemental Dungeons Tiles,"KADOKAWA, Yoji Ojima, Sherman3D",Degica,,2,5,0,"0 .. 20,000",0,0,0,0,999,999,0,"English, French, Italian, German, Spanish, Portuguese-Brazil, Russian, Japanese, Korean, Traditional Chinese, Arabic, Simplified Chinese","Design & Illustration, Web Publishing",0,"{'Design & Illustration': 21, 'Web Publishing': 21}"
580051,RPG Maker MV - Future Steam Punk,"KADOKAWA, Yoji Ojima",,,11,1,0,"0 .. 20,000",0,0,0,0,1499,1499,0,"English, French, Italian, German, Spanish, Portuguese-Brazil, Russian, Japanese, Korean, Traditional Chinese, Arabic, Simplified Chinese","Design & Illustration, Web Publishing",0,"{'Design & Illustration': 21, 'Web Publishing': 21}"
580060,Cut Cut Buffet,2BDev,2BDev,,0,1,0,"0 .. 20,000",0,0,0,0,999,999,0,English,"Action, Casual, Indie, Simulation, Early Access",0,"{'Casual': 21, 'Early Access': 21, 'Action': 21, 'Simulation': 21, 'Indie': 21, 'VR': 7}"
580070,Frog Hop Demo,Tiny Warrior Games,Tiny Warrior Games,,10,0,0,"0 .. 20,000",0,0,0,0,0,0,0,English,Adventure,0,"{'Adventure': 25, 'Action': 23, 'Indie': 23, 'Platformer': 7}"
580080,RPG Maker MV - Add-on Vol.3: Train Tileset,KADOKAWA,Degica,,0,0,0,"0 .. 20,000",0,0,0,0,899,999,10,"English, Japanese","Design & Illustration, Web Publishing",0,[]
580081,RPG Maker MV - Add-on Vol.4: Kid Generator Parts,KADOKAWA,Degica,,2,4,0,"0 .. 20,000",0,0,0,0,899,999,10,"English, Japanese","Design & Illustration, Web Publishing",0,"{'Design & Illustration': 21, 'Web Publishing': 21}"
580100,Darkest Dungeon: The Crimson Court,Red Hook Studios,Red Hook Studios,,783,357,0,"0 .. 20,000",0,0,0,0,999,999,0,"English, French, German, Spanish, Czech, Polish, Portuguese-Brazil, Russian, Italian, Simplified Chinese","Indie, RPG, Strategy",0,"{'Strategy': 55, 'Indie': 52, 'RPG': 51, 'Lovecraftian': 37, 'Turn-Based Combat': 25, 'Dungeon Crawler': 22, 'Singleplayer': 21, 'Dark Humor': 18, 'Difficult': 15, 'Linear': 13, 'Drama': 13, 'Illuminati': 12, 'Dark Comedy': 11, 'Investigation': 11, 'Dark Fantasy': 9, 'Walking Simulator': 8, 'Conspiracy': 8, 'Casual': 8, 'Mod': 7, 'Rogue-like': 7}"
